metric,base_case_id,stage,clean_condition,degraded_condition,clean_value,degraded_value,paired_delta_degraded_minus_clean
parser_valid,P05_CFPB_PKT_022235,decision,clean,noisy_conflicting,0.0,1.0,1.0
parser_valid,P05_CFPB_PKT_022464,decision,clean,noisy_conflicting,0.0,0.0,0.0
parser_valid,P05_CFPB_PKT_022610,decision,clean,noisy_conflicting,0.0,1.0,1.0
parser_valid,P05_CFPB_PKT_022895,decision,clean,noisy_conflicting,0.0,1.0,1.0
parser_valid,P05_CFPB_PKT_024097,decision,clean,noisy_conflicting,0.0,1.0,1.0
parser_valid,P05_CFPB_PKT_024360,decision,clean,noisy_conflicting,0.0,1.0,1.0
parser_valid,P05_CFPB_PKT_024533,decision,clean,noisy_conflicting,1.0,1.0,0.0
parser_valid,P05_CFPB_PKT_024618,decision,clean,noisy_conflicting,0.0,1.0,1.0
parser_valid,P05_CFPB_PKT_025299,decision,clean,noisy_conflicting,0.0,1.0,1.0
parser_valid,P05_CFPB_PKT_025407,decision,clean,noisy_conflicting,1.0,1.0,0.0
parser_valid,P05_CFPB_PKT_025837,decision,clean,noisy_conflicting,0.0,0.0,0.0
parser_valid,P05_CFPB_PKT_025875,decision,clean,noisy_conflicting,0.0,1.0,1.0
parser_valid,P05_CFPB_PKT_025929,decision,clean,noisy_conflicting,0.0,1.0,1.0
parser_valid,P05_CFPB_PKT_025988,decision,clean,noisy_conflicting,1.0,0.0,-1.0
parser_valid,P05_CFPB_PKT_026248,decision,clean,noisy_conflicting,1.0,0.0,-1.0
parser_valid,P05_CFPB_PKT_026665,decision,clean,noisy_conflicting,0.0,1.0,1.0
parser_valid,P05_CFPB_PKT_026722,decision,clean,noisy_conflicting,0.0,1.0,1.0
parser_valid,P05_CFPB_PKT_000190,audit,clean,compressed_lossy,1.0,1.0,0.0
parser_valid,P05_CFPB_PKT_000219,audit,clean,compressed_lossy,1.0,1.0,0.0
parser_valid,P05_CFPB_PKT_000605,audit,clean,compressed_lossy,1.0,1.0,0.0
parser_valid,P05_CFPB_PKT_000987,audit,clean,compressed_lossy,0.0,1.0,1.0
parser_valid,P05_CFPB_PKT_001132,audit,clean,compressed_lossy,1.0,0.0,-1.0
parser_valid,P05_CFPB_PKT_001611,audit,clean,compressed_lossy,1.0,0.0,-1.0
